case,body,trailer,make,model,modelyr
529,34,0,7,482,1994
530,15,0,20,421,2001
531,4,0,59,34,2000
532,4,0,19,3,2003
533,14,0,20,401,2000
534,4,0,48,34,2003
534,15,0,12,422,2015
535,4,0,37,31,2007
536,14,0,2,404,2000
537,34,0,20,471,1994
537,34,0,7,482,2012
538,4,0,49,32,2003
539,15,0,23,421,2007
540,14,0,20,403,2006
541,4,0,37,32,1997
542,20,0,12,442,2001
542,67,1,12,880,2015
543,66,1,87,884,2006
544,99,0,99,999,9999
546,16,0,20,431,1998
547,4,0,19,18,2009
548,34,0,35,481,2010
549,14,0,18,404,2015
549,20,0,7,442,1996
550,66,1,85,881,2004
1,80,0,72,706,2003
1,14,0,2,404,2005
2,20,0,35,443,2007
3,34,0,12,481,1989
3,14,0,12,402,2014
4,34,0,12,481,2010
5,4,0,19,3,1999
5,14,0,49,401,2007
5,34,0,35,472,2007
6,14,0,59,402,2005
7,2,0,37,31,1998
7,66,1,85,881,2010
8,4,0,54,39,2008
9,14,0,2,404,2000
10,20,0,7,442,2001
11,1,0,6,43,2000
11,34,0,49,481,1997
12,34,0,12,481,1996
13,4,0,49,40,2003
13,2,0,20,9,2011
14,4,0,35,47,2001
14,34,0,23,481,1999
15,14,0,24,401,2003
15,66,1,85,881,2017
15,61,0,12,881,2000
15,66,1,82,881,2007
16,4,0,54,35,2004
17,1,0,49,41,2004
17,4,0,6,51,2013
18,4,0,6,51,2014
19,66,1,82,881,2000
20,34,0,7,482,2014
21,61,0,23,882,1992
21,50,0,84,981,2007
22,34,0,20,481,2011
23,34,0,20,473,2004
24,4,0,12,17,1998
24,4,0,49,40,2012
26,14,0,49,401,1997
26,34,0,7,482,2001
27,34,0,12,481,2014
28,6,0,30,42,2016
29,3,0,54,38,2002
29,34,0,7,482,2002
29,6,0,48,45,2004
30,14,0,2,403,1997
31,6,0,32,43,2006
32,6,0,19,20,2011
34,4,0,7,24,2008
35,14,0,7,402,2002
36,34,0,7,481,1991
38,3,0,53,31,2001
38,66,2,85,881,2007
39,80,0,98,706,2013
40,6,0,7,21,2005
40,66,1,82,881,2010
41,14,0,20,403,2003
42,14,0,18,401,2005
43,4,0,35,47,2007
43,14,0,18,401,2004
43,6,0,49,46,2013
44,14,0,12,402,2014
45,4,0,19,18,2004
45,4,0,20,2,2012
47,49,0,2,999,9999
48,4,0,63,34,2018
49,3,0,37,31,1990
49,63,0,85,881,2007
50,4,0,20,16,2000
50,4,0,63,33,2004
51,3,0,49,34,1988
52,3,0,69,54,2005
52,14,0,18,404,2016
53,34,0,7,482,2005
54,34,0,20,481,2001
55,52,0,98,988,2013
56,63,1,98,890,1986
56,6,0,6,52,2005
56,15,0,20,421,2017
57,34,0,35,472,2011
58,4,0,37,32,1994
59,99,9,99,999,9999
60,14,0,20,403,2004
61,4,0,35,43,2005
62,14,0,58,403,2014
63,2,0,37,32,1994
63,4,0,34,34,2014
63,4,0,37,32,2000
64,15,0,49,421,1993
65,14,0,48,403,2018
65,6,0,37,32,1995
66,80,0,72,706,1999
67,63,0,84,881,2008
67,3,0,54,31,1991
68,4,0,35,39,2002
68,14,0,37,402,1999
69,21,0,20,461,2008
69,66,1,82,881,2016
69,4,0,55,35,2013
70,83,0,76,703,1999
70,34,0,7,482,2017
71,4,0,20,16,2005
72,4,0,48,34,1999
72,4,0,30,40,2004
73,4,0,48,34,1993
73,4,0,63,33,2008
74,5,0,35,55,2013
75,6,0,35,49,2004
76,4,0,34,35,2011
77,52,0,92,988,2006
78,34,0,12,481,2013
79,4,0,51,47,2006
79,34,0,49,471,1989
80,67,0,12,880,2014
81,3,0,54,31,1995
82,15,0,19,421,2002
83,4,0,63,32,2007
84,4,0,20,2,2002
85,14,0,7,402,2002
85,2,0,37,32,1995
86,4,0,54,35,1998
86,34,0,41,471,1989
87,34,0,49,482,2014
88,4,0,7,41,1997
88,80,0,37,703,2012
89,4,0,35,47,2008
90,4,0,63,38,2010
91,4,0,6,51,2010
92,34,0,35,471,1986
93,3,0,69,54,2004
94,4,0,55,33,2002
96,14,0,12,401,2003
96,4,0,37,32,2014
97,34,0,20,481,1993
98,34,0,12,481,1997
98,4,0,48,34,2003
98,2,0,20,9,2017
99,67,0,23,880,2015
100,34,0,12,481,1972
101,14,0,63,402,2011
101,34,0,12,481,2008
102,80,0,72,706,2012
103,4,0,49,40,1988
