case,crash_dt,crash_tm,numfatal,crashtype
465,11/05/2017,16:53,1,51
466,11/05/2017,1:04,1,7
467,11/01/2017,9:16,1,20
467,11/01/2017,9:16,1,21
467,11/01/2017,9:16,1,98
468,11/11/2017,20:35,1,13
469,11/05/2017,14:45,1,20
469,11/05/2017,14:45,1,21
469,11/05/2017,14:45,1,98
470,11/03/2017,18:15,1,13
471,11/09/2017,18:12,1,13
472,11/01/2017,8:50,1,86
472,11/01/2017,8:50,1,87
473,11/11/2017,10:40,1,13
474,11/15/2017,2:19,1,98
475,11/09/2017,11:34,1,7
475,11/09/2017,11:34,1,98
476,11/12/2017,23:40,1,24
476,11/12/2017,23:40,1,25
476,11/12/2017,23:40,1,98
477,11/14/2017,12:57,1,7
477,11/14/2017,12:57,1,98
478,11/21/2017,21:45,1,7
479,11/13/2017,18:06,1,0
480,11/15/2017,19:05,1,7
481,11/05/2017,19:36,1,13
482,11/22/2017,18:59,1,13
483,11/20/2017,22:15,1,98
483,11/20/2017,22:15,1,98
483,11/20/2017,22:15,1,98
484,11/21/2017,16:16,1,66
484,11/21/2017,16:16,1,66
484,11/21/2017,16:16,1,98
485,11/23/2017,18:51,1,7
486,11/15/2017,17:45,1,20
486,11/15/2017,17:45,1,21
486,11/15/2017,17:45,1,98
487,11/22/2017,17:22,1,13
488,11/05/2017,3:10,1,13
489,11/07/2017,10:33,1,1
491,11/22/2017,18:10,1,68
491,11/22/2017,18:10,1,69
492,11/23/2017,23:17,1,50
492,11/23/2017,23:17,1,51
493,11/06/2017,1:08,1,14
494,11/14/2017,19:17,1,13
494,11/14/2017,19:17,1,98
495,11/24/2017,19:16,1,13
496,11/18/2017,2:02,1,7
497,11/05/2017,1:58,1,2
498,11/03/2017,21:39,1,13
499,11/21/2017,5:42,1,13
500,11/12/2017,20:15,1,88
500,11/12/2017,20:15,1,89
501,12/03/2017,0:16,1,13
502,12/04/2017,23:36,1,20
502,12/04/2017,23:36,1,21
503,12/03/2017,21:00,1,50
503,12/03/2017,21:00,1,51
504,12/06/2017,2:31,1,6
505,12/06/2017,11:16,1,7
506,12/07/2017,15:44,1,50
506,12/07/2017,15:44,1,51
506,12/07/2017,15:44,1,98
507,12/02/2017,17:34,1,13
508,12/06/2017,17:04,1,98
508,12/06/2017,17:04,1,98
509,12/05/2017,4:01,1,7
510,12/11/2017,16:53,1,69
510,12/11/2017,16:53,1,68
510,12/11/2017,16:53,1,98
511,12/13/2017,16:35,1,12
511,12/13/2017,16:35,1,98
512,12/09/2017,1:48,1,50
512,12/09/2017,1:48,1,51
513,12/10/2017,2:05,1,7
514,12/10/2017,19:02,1,6
515,12/12/2017,14:45,1,21
515,12/12/2017,14:45,1,98
515,12/12/2017,14:45,1,20
516,12/08/2017,0:42,1,88
516,12/08/2017,0:42,1,89
517,12/13/2017,17:53,1,66
517,12/13/2017,17:53,1,66
518,12/15/2017,3:59,1,13
519,12/18/2017,13:40,1,89
519,12/18/2017,13:40,1,88
519,12/18/2017,13:40,1,98
520,12/17/2017,19:50,2,2
521,12/17/2017,0:20,1,7
522,12/14/2017,13:19,1,2
523,12/15/2017,7:30,1,13
524,12/18/2017,5:20,2,50
524,12/18/2017,5:20,2,51
525,12/14/2017,16:50,1,13
526,12/18/2017,11:05,1,2
527,12/06/2017,20:05,1,68
527,12/06/2017,20:05,1,69
528,12/23/2017,1:34,1,50
528,12/23/2017,1:34,1,51
529,12/25/2017,12:20,1,2
530,12/24/2017,15:41,1,6
531,12/24/2017,2:48,1,7
532,12/23/2017,3:24,1,2
533,12/14/2017,3:02,1,1
534,12/22/2017,14:45,1,98
534,12/22/2017,14:45,1,98
535,12/19/2017,11:16,1,13
536,12/29/2017,10:18,1,2
537,12/29/2017,6:08,1,50
537,12/29/2017,6:08,1,51
538,12/02/2017,0:00,1,2
539,12/31/2017,18:06,1,13
540,12/30/2017,17:39,1,7
541,12/24/2017,23:53,1,2
542,12/16/2017,7:44,1,50
542,12/16/2017,7:44,1,51
543,12/07/2017,15:10,1,13
544,12/18/2017,5:00,1,13
546,12/05/2017,16:42,1,13
547,11/26/2017,1:06,1,14
548,11/29/2017,3:45,1,13
549,12/11/2017,14:48,1,86
549,12/11/2017,14:48,1,87
550,10/31/2017,6:16,1,98
1,01/01/2018,17:50,1,69
